Q=10^13, a=0.0001, sigma=0.0008, w=0.1,0.2,0,4,0.6,0.8,1; eta=1
31000	0.	0.	0.	5.137401251458787e-84	1.6279006719819798e-20	0.00003163178735189102
33000	0.	0.	0.	1.851410384825797e-89	7.469374351254238e-22	0.000014268916745690909
35000	0.	0.	0.	6.72137596659836e-95	3.4525250604721947e-23	6.484172826144071e-6
37000	0.	0.	0.	2.456148004082801e-100	1.606313497044188e-24	2.9659172415235625e-6
39000	0.	0.	0.	9.028019170905529e-106	7.517360469467237e-26	1.3645991164150442e-6
41000	0.	0.	0.	3.3359357667103955e-111	3.536614424555714e-27	6.311584830727114e-7
43000	0.	0.	0.	1.2385461381753307e-116	1.6717808928560531e-28	2.93319594438914e-7
45000	0.	0.	0.	4.6183599836208275e-122	7.936921503003288e-30	1.369067371505966e-7
47000	0.	0.	0.	1.7289435044205076e-127	3.7830514148554098e-31	6.415433420160268e-8
49000	0.	0.	0.	6.496030689448926e-133	1.809700260747464e-32	3.017181504407951e-8
51000	0.	0.	0.	2.4488579070909975e-138	8.685989666510915e-34	1.4237217866831543e-8
53000	0.	0.	0.	9.26010498043438e-144	4.181853118422704e-35	6.738847631940198e-9
55000	0.	0.	0.	3.511607613038973e-149	2.01909145176228e-36	3.198776494935907e-9
57000	0.	0.	0.	1.3351970415516047e-154	9.774454164263729e-38	1.5224094396316545e-9
59000	0.	0.	0.	5.089261441597715e-160	4.7435016989316594e-39	7.263552257555553e-10
61000	0.	0.	0.	1.944297991454893e-165	2.3073010991448648e-40	3.4734842366862764e-10
63000	0.	0.	0.	7.4439785242969715e-171	1.1247181522216762e-41	1.6646227320820886e-10
65000	0.	0.	0.	2.8557698874128335e-176	5.493624249496349e-43	7.993594765570937e-11
67000	0.	0.	0.	1.0976503788562373e-181	2.6884187866821873e-44	3.845839542350113e-11
69000	0.	0.	0.	4.226483416028502e-187	1.3179811794584998e-45	1.8535935607274056e-11
71000	0.	0.	0.	1.6301379842128839e-192	6.47219444842868e-47	8.948864383758224e-12
73000	0.	0.	0.	6.297367788896638e-198	3.183342726970678e-48	4.327238543948694e-12
75000	0.	0.	0.	2.4363852753217248e-203	1.5680772612584388e-49	2.09558830329325e-12
77000	0.	0.	0.	9.439538388122947e-209	7.735161746354412e-51	1.0162931065743674e-12
79000	0.	0.	0.	3.662197310113235e-214	3.820828403933037e-52	4.935352617258648e-13
81000	0.	0.	0.	1.422622256579684e-219	1.8897421303279204e-53	2.3997957156136204e-13
83000	0.	0.	0.	5.533082767179256e-225	9.357875563834382e-55	1.1683153156786012e-13
85000	0.	0.	0.	2.1545134767398866e-230	4.63934283683751e-56	5.69443117507349e-14
87000	0.	0.	0.	8.39870401581085e-236	2.3025903570507457e-57	2.7785719105153624e-14
89000	0.	0.	0.	3.2774379895834e-241	1.144026388592468e-58	1.3572257191938782e-14
91000	0.	0.	0.	1.2802518950575597e-246	5.689762516678614e-60	6.636227391385878e-15
93000	0.	0.	0.	5.005829234351281e-252	2.8325129024385078e-61	3.247955697922262e-15
95000	0.	0.	0.	1.9591082446076408e-257	1.411404354633073e-62	1.5911119410783245e-15
97000	0.	0.	0.	7.67407235963888e-263	7.039082658835898e-64	7.801469769048618e-16
99000	0.	0.	0.	3.0085877638306734e-268	3.5135813620447324e-65	3.8284366323411737e-16
101000	0.	0.	0.	1.1804675200743284e-273	1.7552481617750037e-66	1.8802736485302913e-16
