0.1	1
0.8221011211287239	0.9485861104044591
0.1370168809248247	0.049553005767397136
0.030448198805891728	0.0018079040246811566
0.007612050208942912	0.00005171864747222216
0.0020298801572121122	1.2350721784411264e-6
0.0005638556217798107	2.5602657098696657e-8
0.0001611016115928566	4.731123557683818e-10
0.000046987971390429936	7.944050749842237e-12
0.000013922362241519773	1.229593261446007e-13
4.1767087652716796e-6	1.7740400289519517e-15
1.2656693481229862e-6	2.407109944303871e-17
3.867323078468534e-7	3.093715102546433e-19
1.1899455824381286e-7	3.78870582784102e-21
3.6831649546868544e-8	4.4430452138860595e-23
1.1458735578277544e-8	5.0103992461733355e-25
3.5808549159564637e-9	5.452859876121484e-27
1.123405477872047e-9	5.744891880022635e-29
3.5366469163899816e-10	5.875096726391311e-31
1.1168358807429657e-10	5.845867389444091e-33
3.5366469929139186e-11	5.671363885281586e-35
1.1227450883429805e-11	5.3744268043417086e-37
3.5723707696593347e-12	4.983073246902084e-39
1.1390167774924568e-12	4.527126895303646e-41
3.638525848629147e-13	4.035374305515269e-43
1.1643282812640632e-13	3.5334620784611324e-45
3.731821444162462e-14	3.042590767905682e-47
1.1978686209208438e-14	2.578941870714233e-49
3.850292024337678e-15	2.1537005672275943e-51
1.239174453465671e-15	1.7735053564406343e-53
3.9928954887043703e-16	1.4411569231441311e-55
1.2880308113947337e-16	1.1564411195186421e-57
4.159266188629471e-17	9.169542458869845e-60
1.3444092814949121e-17	7.188545271539758e-62
4.349559466491565e-18	5.574961946028786e-64
1.408428787910716e-18	4.279288487356852e-66
4.56435257949637e-19	3.252637739146307e-68
1.4803305745472057e-19	2.4492095386875527e-70
4.804581715290589e-20	1.827768312453398e-72
1.560462445657767e-20	1.3523480306454537e-74
5.071502974395452e-21	9.923946991054963e-77
1.649269268212347e-21	7.22529813691661e-79
5.366669867187306e-22	5.220838502154861e-81
1.747287872055821e-22	3.7451346422955175e-83
5.691922639989234e-23	2.6678367533312716e-85
1.8551451651697093e-23	1.8876899083825479e-87
6.049386435048256e-24	1.3270586636909549e-89
1.9735587037028177e-24	9.271289489107975e-92
6.441476351996123e-25	6.438395478547187e-94
2.1033392257422397e-25	4.445231927517604e-96
6.870908165469168e-26	3.0519502785941776e-98
